mix_id,cement,bfs,fa,water,binder,w_b,fa_b,bfs_b,temp,Su,E0,alpha,t0,R2
A6,499.85,124.95,0.0,312.4,624.8000000000001,0.4999999999999999,0.0,0.19998399487836105,40.0,59.92090503171934,43038.76354017631,0.0014333592912361066,0.27404666457881205,0.9961144040697005
A7,374.1,249.39,0.0,311.74,623.49,0.49999198062519046,0.0,0.3999903767502285,5.0,41.30973034012529,43483.50148112027,0.005669390791661591,1.4609367084014915,0.9999929003408016
A7,374.1,249.39,0.0,311.74,623.49,0.49999198062519046,0.0,0.3999903767502285,10.0,55.44866876461441,43523.30882191044,0.0011821399653820755,1.4511086161024496,0.99479481833838
A7,374.1,249.39,0.0,311.74,623.49,0.49999198062519046,0.0,0.3999903767502285,20.0,55.22184499883174,43753.72882316011,0.004997244514511118,0.5854974924657481,0.99965433994743
A7,374.1,249.39,0.0,311.74,623.49,0.49999198062519046,0.0,0.3999903767502285,30.0,58.329742784535476,42277.46250722809,0.0009011996078472765,0.5263235098708547,0.9947969036738703
A7,374.1,249.39,0.0,311.74,623.49,0.49999198062519046,0.0,0.3999903767502285,40.0,58.43819033271494,43766.751866033126,0.014838832106867794,0.23568622787368593,0.9957356421436119
A8,186.46,435.06,0.0,310.76,621.52,0.5,0.0,0.6999935641652723,5.0,25.64921847208555,48077.539633187596,0.022631487753342616,2.267284340687639e-14,0.9871738410132885
A8,186.46,435.06,0.0,310.76,621.52,0.5,0.0,0.6999935641652723,10.0,28.54253722209782,46553.3084618344,0.0068457179648609215,3.732494976456252e-14,0.9991887193282613
A8,186.46,435.06,0.0,310.76,621.52,0.5,0.0,0.6999935641652723,20.0,56.446252386161774,44755.478742882304,0.0011881386615717334,0.8499145482400146,0.9955185355737415
A8,186.46,435.06,0.0,310.76,621.52,0.5,0.0,0.6999935641652723,30.0,41.65785904983473,42733.27787113233,0.023399674973690263,0.7426973215421855,0.9737727211515527
A8,186.46,435.06,0.0,310.76,621.52,0.5,0.0,0.6999935641652723,40.0,43.45072047589637,42691.75068104185,0.02354656852285735,0.1801878275309328,0.9996884913439348
A9,529.4,0.0,93.41,311.41,622.81,0.5000080281305695,0.14998153529969013,0.0,5.0,39.37849414867414,46029.62490396657,0.026823753616349658,3.991202369978061e-14,0.9984043383287737
A9,529.4,0.0,93.41,311.41,622.81,0.5000080281305695,0.14998153529969013,0.0,10.0,45.27601008859418,40149.60533984928,0.0015410000837214406,1.2909002665862614,0.9862413443966772
A9,529.4,0.0,93.41,311.41,622.81,0.5000080281305695,0.14998153529969013,0.0,20.0,44.25378863800705,40307.909847955285,0.005572899010558193,0.6830082337377881,0.9992148031545103
A9,529.4,0.0,93.41,311.41,622.81,0.5000080281305695,0.14998153529969013,0.0,30.0,48.90247012645744,41617.97967379744,0.0029295964294681143,0.20999293537343847,0.9917500203982449
A9,529.4,0.0,93.41,311.41,622.81,0.5000080281305695,0.14998153529969013,0.0,40.0,53.29839721766906,43500.11779755186,0.008973446941863108,4.665486435027796e-15,0.9864308472828129
Conc,264.0,50.0,17.0,172.0,331.0,0.5196374622356495,0.0513595166163142,0.1510574018126888,5.0,23.370896531655347,42132.85300618436,0.004608042965315424,1.3875228196489742,0.713280319851276
D1,667.96,0.0,0.0,267.18,667.96,0.3999940116174621,0.0,0.0,5.0,52.35364540269957,41131.47519730119,0.013874207886530212,1.4041743834053968,0.9989922429726167
D1,667.96,0.0,0.0,267.18,667.96,0.3999940116174621,0.0,0.0,10.0,46.039319080103105,40151.85723917256,0.040239715546927096,0.784118795499631,0.997554025814245
D1,667.96,0.0,0.0,267.18,667.96,0.3999940116174621,0.0,0.0,20.0,54.31795458566576,38934.403868051624,0.005212032452564534,0.3915670423801528,0.9875320813754264
D1,667.96,0.0,0.0,267.18,667.96,0.3999940116174621,0.0,0.0,30.0,53.37707766348394,39736.31559143747,0.014107762636421047,2.1091082250369995e-14,0.9856866490652529
D1,667.96,0.0,0.0,267.18,667.96,0.3999940116174621,0.0,0.0,40.0,49.0187580227404,39759.29003762669,0.004551195109953127,8.269489255195553e-15,0.8778578931622343
